id,text,aspect_term,aspect_category,polarity
2962,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,food,positive
3404,it's a perfect place to have a amanzing indian food.,indian food,food,positive
2599,the place is so cool and the service is prompt and curtious.,place,ambience,positive
673,at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,food,positive
648,i just wonder how you can have such a delicious meal for such little money.,money,food,positive
863,the food was delicious but do not come here on a empty stomach.,food,food,conflict
1623,the wine list is excellent.,wine list,food,positive
2177,so garantuan that you can't fit them in a toaster.,,food,positive
430,"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",Thai food,food,positive
1101,they wouldnt even let me finish my glass of wine before offering another.,glass of wine,service,positive
1823,i highly recommend the sophia pizza.,,anecdotes/miscellaneous,positive
324,"whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,service,negative
2783,this is a consistently great place to dine for lunch or dinner.,dine,anecdotes/miscellaneous,positive
2983,"nice atmosphere, the service was very pleasant and the desert was good.",desert,ambience,positive
66,all the people that i bring there go back on their own and bring their friends!,,anecdotes/miscellaneous,positive
627,after really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,anecdotes/miscellaneous,positive
3219,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,ambience,positive
2934,not what i wanted to hear.,,anecdotes/miscellaneous,negative
2787,try the lasagnette appetizer.,lasagnette appetizer,food,positive
825,"pricey, but worth a try, at least once.",,anecdotes/miscellaneous,positive
197,"i've been there a few times, and i usually end up sitting next to some pretty odd people.",,anecdotes/miscellaneous,negative
604,i liked the beer selection!,beer selection,food,positive
2911,"great food, good size menu, great service and an unpretensious setting.",setting,ambience,positive
3074,go here for a romantic dinner but not for an all out wow dining experience.,dining,anecdotes/miscellaneous,conflict
1479,can't wait to go back.,,anecdotes/miscellaneous,positive
1074,i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,Dosa,anecdotes/miscellaneous,neutral
912,wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,food,positive
728,"with the great variety on the menu , i eat here often and never get bored .",menu,food,positive
2925,the menu is very limited - i think we counted 4 or 5 entrees.,entrees,food,negative
495,"if you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",,anecdotes/miscellaneous,positive
3436,the menu is limited but almost all of the dishes are excellent.,dishes,food,conflict
3273,not too crazy about their sake martini.,sake martini,food,negative
1215,"great bagels, spreads and a good place to hang out in.",spreads,anecdotes/miscellaneous,positive
183,"the service varys from day to day- sometimes they're very nice, and sometimes not.",service,service,conflict
2511,"whoever the jazz duo was, they were on point.",,ambience,positive
282,one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,table,service,positive
1562,this place is a great bargain.,,price,positive
1712,we happened upon this place purely by accident and were pleased with the results.,,anecdotes/miscellaneous,positive
3249,"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,anecdotes/miscellaneous,negative
2052,deff recimmend bukhara they also have opened two new locations guess ill try them out.,,anecdotes/miscellaneous,positive
3207,we always have a delicious meal and always leave feeling satisfied.,meal,food,positive
672,"dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,food,neutral
2972,first went here to enjoy their garden terrace.,garden terrace,ambience,positive
1903,"my husbands was perfect, my was well done and dry.",,food,conflict
2549,"everyone i have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",,service,positive
1755,the pizza was pretty good and huge.,pizza,food,positive
2890,sapphire is the only indian restaurant i go to when i'm in nyc.,,anecdotes/miscellaneous,positive
2277,"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.",cuisine,food,neutral
2308,i heartily recommend.,,anecdotes/miscellaneous,positive
51,heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones.,,anecdotes/miscellaneous,positive
3680,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,atmosphere,ambience,positive
3155,they are often crowded on the weekends but they are efficient and accurate with their service.,crowded,ambience,negative
1688,all my co-workers were amazed at how small the dish was.,dish,food,negative
598,"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,ambience,positive
2926,"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,food,negative
3083,"the wait staff is friendly, and the food has gotten better and better!",food,service,positive
1388,"this place, which is only a few months old, is perhaps queens' biggest secret!",,anecdotes/miscellaneous,positive
2977,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",packed,ambience,conflict
1574,this place is so much fun.,,anecdotes/miscellaneous,positive
498,i was glad i did.,,anecdotes/miscellaneous,positive
2604,right off the l in brooklyn this is a nice cozy place with good pizza.,place,ambience,positive
473,i've never been treated so rudely.,,service,negative
380,i'll be back soon.,,anecdotes/miscellaneous,positive
2960,le pere pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,food,positive
322,went inside and i started to get excited.,,anecdotes/miscellaneous,positive
1383,i also ordered for delivery and the restaurant forgot half the order.,order,service,negative
892,our server checked on us maybe twice during the entire meal.,meal,service,negative
2296,"however, it is jus too good to not praise it.",,anecdotes/miscellaneous,positive
868,we have been to montparnasse many times and return often for good reason.,,anecdotes/miscellaneous,positive
2936,the strong scents coming from the left and right of me negatively affected my taste buds.,scents,anecdotes/miscellaneous,negative
3423,we had the lobster sandwich and it was fantastic.,lobster sandwich,food,positive
154,it's somewhere you can eat and be happy.,,anecdotes/miscellaneous,positive
591,"if you wrote a bad review, it's because you don't understand what rao's is all about.",,anecdotes/miscellaneous,positive
1197,"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,service,negative
2061,but overall i give it a 10,,anecdotes/miscellaneous,positive
2274,"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,price,positive
2804,deep fried skewers are good and still rare to find in nyc.,Deep Fried Skewers,food,positive
194,"i have tried to make reservations, but both times, the hostess didn't have my name.",hostess,service,negative
148,i also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),food,positive
2747,their tuna tartar appetizer is to die for.,tuna tartar appetizer,food,positive
2845,this was one of the best restaurants i've ever been to.,,anecdotes/miscellaneous,positive
187,this restaurant used to be pretty decent.,,anecdotes/miscellaneous,negative
856,"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,food,positive
2033,"if you love wine and cheese and delicious french fare, you'll love artisanal!",cheese,food,positive
1402,i love indian food and consider myself to be quite an expert on it.,Indian food,food,positive
439,some baby pizzas get their wish.,baby pizzas,food,neutral
3360,plenty of choices to make your own creation.,,food,positive
2949,it was tiny and i felt like i was eating in someone's living room.,,ambience,negative
570,i was there on sat.,,anecdotes/miscellaneous,neutral
2053,overall a oh ya even though there is waiting it is deff worth it,waiting,service,negative
3316,the lava cake dessert was incredible and i recommend it.,lava cake dessert,food,positive
433,vt is what baby pizzas hope to be when they grow up.,baby pizzas,anecdotes/miscellaneous,positive
738,"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,service,negative
1549,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,price,positive
1798,the last time i went we were seated at a table in a corridor next to the kitchen.,table,anecdotes/miscellaneous,negative
2941,good selection of wines ranging from affordable to high end.,selection of wines,price,conflict
362,"nice restaurant overall, with classic upscale italian decor.",Italian decor,ambience,positive
2921,not impressed with the food.,food,food,negative
1909,the entire dining experience was wonderful!,dining experience,anecdotes/miscellaneous,positive
1878,the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,reservation,anecdotes/miscellaneous,positive
858,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,service,positive
3376,"order the panang duck, it's fantastic.",panang duck,food,positive
173,"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",raw vegatables,food,conflict
1836,"other than the crappy service from two individuals, it's great.",service,service,conflict
1703,what more can you ask for?,,anecdotes/miscellaneous,positive
3564,wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,,anecdotes/miscellaneous,neutral
1404,they have authentic indian at amazin prices.,prices,price,positive
645,you are treated just like royality.,,service,positive
3288,"there's nice and quiet, small but enough for 6 (or more).",,ambience,conflict
1819,ambiance- relaxed and stylish.,Ambiance,ambience,positive
1144,i've never felt more unwelcome than last month at jimmy's bronx cafe.,,anecdotes/miscellaneous,negative
2639,"luckily we saved room for the bbq salmon, sea bass and crispy duck.",Crispy Duck,food,positive
1474,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,food,negative
1553,"looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",,ambience,negative
2059,and yes dal bukhara is so dam good and so are all the kababs.,Dal Bukhara,food,positive
926,i look forward to eating here again,eating,anecdotes/miscellaneous,positive
2385,i've been coming here as a child and always come back for the taste.,taste,food,positive
2498,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,price,positive
2469,"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,food,positive
567,"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,food,negative
3517,the food always tastes fresh and served promptly.,served,service,positive
2069,i know because i live nearby.,,anecdotes/miscellaneous,neutral
1599,the pizza here is delicious.,pizza,food,positive
2860,my entire family was horrified.,,anecdotes/miscellaneous,negative
1092,on a monthly basis my friends and i get together and have a girls night out.,,anecdotes/miscellaneous,neutral
2548,"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",garlic knots,service,positive
759,"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.",chinese food,food,positive
3175,but who says murray's is anything about service.,service,service,neutral
2209,"this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,anecdotes/miscellaneous,positive
2717,i have never been disappointed in the red eye.,,anecdotes/miscellaneous,positive
1352,hats off to the chef.,chef,food,positive
1543,this should have been done in a back room - away from customers.,,anecdotes/miscellaneous,negative
3537,"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,service,negative
3213,glad you have the luxury to throw out paying customers.,,anecdotes/miscellaneous,neutral
1743,"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,food,positive
1321,its an excellent place to relax and the food is one of the best in the city of new york.,food,ambience,positive
2907,"service is friendly, and never had a problem walking in and getting a table.",getting a table,service,positive
1890,the atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,ambience,conflict
2675,check it out,,anecdotes/miscellaneous,positive
2588,"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,service,negative
2234,don't go.,,anecdotes/miscellaneous,negative
3130,the food was bland oily.,food,food,negative
3285,but they do.,,anecdotes/miscellaneous,neutral
709,"what is even better, is that the prices are very affordable as well, and the food is really good.",food,price,positive
1198,the fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,food,conflict
2380,look i dont know if the people who wrote the reviews have ever been to a decent place (please try someother places).,,anecdotes/miscellaneous,neutral
2250,suan has challenged this loyalty.,,anecdotes/miscellaneous,neutral
2302,"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,food,positive
1110,"and kruno, the beverage manager is the best bartender i have yet to come across.",beverage manager,service,positive
973,"ambiance and music funky, which i enjoy.",music,ambience,positive
2132,"the food, drinks and service are clearly among the best in the city.",service,service,positive
231,i went there in late afternoon for some bite size food and refleshment with my date.,refleshment,anecdotes/miscellaneous,neutral
1184,"it's a really great deal, considering we got full off of four dollars.",,price,positive
250,"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,service,positive
227,went with mommy (the only person who could afford taking me here).,,anecdotes/miscellaneous,neutral
3653,my friends and i were on vacation in ny and was referred to chance by a friend.,,anecdotes/miscellaneous,neutral
2988,"last time i went here, the waitress didn't come back after taking our order.",waitress,service,negative
3092,try the tandoori salmon!,tandoori salmon,food,positive
1166,"i am completely hooked on this place, it is ridiculous.",,anecdotes/miscellaneous,positive
3686,"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,ambience,positive
1922,"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,ambience,negative
2978,"have recommended the place to friends, always gets good response.",,anecdotes/miscellaneous,positive
2139,we will return many times for this oasis in mid-town.,,anecdotes/miscellaneous,positive
2454,i love the atmorphere @ peep!,atmorphere,ambience,positive
1881,enjoy!,,anecdotes/miscellaneous,positive
633,we weren't!,,anecdotes/miscellaneous,neutral
268,this is one of my favorite restaurants and it is not to be missed.,,anecdotes/miscellaneous,positive
3613,(la rosa is connected by a swinging door to the mexican restaurant pacifico).,,anecdotes/miscellaneous,neutral
1531,it could have been handled better.,,anecdotes/miscellaneous,negative
603,the service was attentive and her suggestions of menu items was right on the mark.,menu items,service,positive
678,the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,three course meal,food,positive
2690,please be aware that it's cash or amex only!,,anecdotes/miscellaneous,neutral
1830,"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!",Pizza,food,positive
1408,it's a rather cramped and busy restaurant and it closes early.,,ambience,negative
2521,"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,ambience,positive
1918,"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,food,positive
2930,i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,anecdotes/miscellaneous,neutral
2166,they were served warm and had a soft fluffy interior.,,food,positive
887,what came to our table was burned beyond recognition and stringy.,table,food,negative
2448,i had the pad thai and the noodles were sticky.,noodles,food,negative
3244,"so i've never actually been to m proper, but i've had it delivered a few times.",delivered,anecdotes/miscellaneous,neutral
1478,"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,price,positive
1413,"frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.",lunch,food,positive
3129,the hostess is rude to the point of being offensive.,hostess,service,negative
2271,"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",wait building,service,negative
1554,"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,ambience,negative
2306,the food is great.,food,food,positive
1975,succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,food,positive
3699,"lunch came with pickels and slaw, no extra charge.",pickels and slaw,price,positive
2875,decent wine at reasonable prices.,prices,price,positive
2303,all conveniently delivered right to the door.,delivered,service,positive
2513,even the wine by the glass was good.,wine by the glass,food,positive
458,nice family owned traditional restaurant.,,anecdotes/miscellaneous,positive
809,would have rather tried terrace in the sky or water club for that price,price,price,negative
141,this dish is my favorite and i always get it when i go there and never get tired of it.,dish,food,positive
3655,"i also ordered the change mojito, which was out of this world.",Change Mojito,food,positive
2098,okay service.,service,service,neutral
1624,the only thing more wonderful than the food (which is exceptional) is the service.,service,service,positive
1928,we were very pleasantly surprised.,,anecdotes/miscellaneous,positive
2377,"the food was just awful, atrocious actually.",food,food,negative
3209,i will never visit this restaurant again.,,anecdotes/miscellaneous,negative
338,the soup for the udon was soy sauce and water.,water,food,negative
1630,"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,food,positive
1907,the waitress suggested glasses of wine that went very well with the food.,glasses of wine,service,positive
1557,"(or sister, in my case!).",,anecdotes/miscellaneous,neutral
3408,i've eaten at many different indian restaurants.,,anecdotes/miscellaneous,neutral
1535,"they might be all business at the counter when you give your order, but their food says i love you.",counter,service,negative
3202,"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,food,positive
449,try their plain pizza with fresh garlic or eggplant.,eggplant,food,positive
1449,don't go there!,,anecdotes/miscellaneous,negative
927,"ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,service,conflict
585,good luck getting a table.,getting a table,anecdotes/miscellaneous,negative
1927,"we picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",,anecdotes/miscellaneous,neutral
1367,don't look down your nose at me like that...,,anecdotes/miscellaneous,negative
701,planet thai is great!,,anecdotes/miscellaneous,positive
345,the service is awful.,service,service,negative
293,just don't do it.,,anecdotes/miscellaneous,negative
1720,just ignore the trendy wannabes.,,anecdotes/miscellaneous,negative
1494,"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!",italian dishes,food,positive
1085,"trust me, it will be great, and all of it will be devoured in no time.",,food,positive
2636,my girlfiends and i ate at o.g. again last night.,,anecdotes/miscellaneous,neutral
1179,i wish they had one near my office- i would go everyday.,,anecdotes/miscellaneous,positive
1976,finally!,,anecdotes/miscellaneous,positive
1315,amma has the worst value for money i have experienced in nyc over the past 2 years.,,price,negative
3194,"i am not the most experienced person when it comes to thai food, but my friend who took me there is.",Thai food,anecdotes/miscellaneous,neutral
688,i think this would be a pretty good spot if it were not so overpriced and overrated.,,price,negative
2393,regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.,hostess,service,positive
1278,the pizza is good though.,pizza,food,positive
2201,bottles of wine are cheap and good.,bottles of wine,food,positive
624,you will not be disapointed at all.,,anecdotes/miscellaneous,positive
3252,walk-ins are risky too.,,anecdotes/miscellaneous,negative
620,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",dish,food,positive
3541,they didn't give us the dinner special until we asked for it.,dinner special,service,negative
865,you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,dessert,food,positive
375,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,food,positive
2126,very good service and very good prices.,prices,price,positive
2078,i recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,anecdotes/miscellaneous,positive
846,"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",meal,service,positive
2158,ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,bagel,food,positive
1578,our food was great too!,food,food,positive
1282,open late (well as late as i ever got there and i'm a night person),,anecdotes/miscellaneous,positive
1319,"the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,service,negative
1175,"get your food to go, find a bench, and kick back with a plate of dumplings.",plate of dumplings,anecdotes/miscellaneous,positive
1115,"please try the filet mignon, its just the most tender piece ever.",Filet Mignon,food,positive
3396,"everything we had was pretty good, but we have only been there once.",,food,positive
34,"we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bartender,anecdotes/miscellaneous,negative
798,something about them being busy with holiday party's.,,anecdotes/miscellaneous,negative
395,the sake menu should not be overlooked!,sake menu,food,positive
1838,i would highly recommend.,,anecdotes/miscellaneous,positive
176,this place is great.,,anecdotes/miscellaneous,positive
3102,the drinks are amazing and half off till 8pm.,drinks,price,positive
984,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,beef cubes,food,positive
2138,"with so many poor experiences to be had in the theater district, is truly an excellent find!",,anecdotes/miscellaneous,positive
1472,this has got to be one of the most overrated restaurants in brooklyn.,,anecdotes/miscellaneous,negative
1969,"the service, wine selection, ambiance are all outstanding and deserve recognition.",ambiance,ambience,positive
1674,"went there last night for 2 year anniversery, and wasn't all that impressed.",,anecdotes/miscellaneous,negative
1330,it was rather pathetic that it took them over an hour to seat us.,,service,negative
763,"we were seated promptly as we had reservations, however after that the service was slow.",service,service,conflict
332,at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc.,,anecdotes/miscellaneous,neutral
754,"it's really also the service, is good and the waiters are friendly.",waiters,service,positive
2248,suan was a recommendation that i am glad we heeded.,,anecdotes/miscellaneous,positive
691,"the food was pretty good, but a little flavorless and the portions very small, including dessert.",portions,food,conflict
3363,we visit at least once a month.,,anecdotes/miscellaneous,neutral
999,"it is set far from the small street it's on, and there is no traffic noise.",traffic noise,ambience,positive
2503,"also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them.",,ambience,neutral
1310,i'll keep this short.,,anecdotes/miscellaneous,neutral
940,i felt as though i were eating in paris.,,ambience,positive
247,lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,food,food,positive
2823,"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",service,ambience,positive
3628,"however, it's not worth a special trip.",,anecdotes/miscellaneous,negative
349,nice value.,,price,positive
987,gigino's in wagner park is so enjoyable.,,anecdotes/miscellaneous,positive
1611,and it was quick which is very important.,,service,positive
2649,this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,anecdotes/miscellaneous,positive
2396,all the nyu students love this place so it makes for a fun young atmosphere.,atmosphere,ambience,positive
139,the food here does a great service to the name (cantonese that is...).,Cantonese,food,positive
841,"but, nothing stands out about the cooking.",cooking,food,neutral
3477,joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,atmosphere,food,positive
442,"if that's a problem, go to mcdonald's and destroy your insides.",,anecdotes/miscellaneous,negative
90,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,quality,price,positive
298,i've been here 3 times for lunch and it is one of my favorites in the city.,lunch,anecdotes/miscellaneous,positive
1104,"i had their eggs benedict for brunch, which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was.",brunch,food,negative
2563,"i work near-by, and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item.",oatmeal,food,positive
1280,always busy but fast moving.,,ambience,conflict
2790,too bad the food wasn't of the same heritage.,food,food,negative
323,"the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.",specials,service,negative
24,sexy.,,anecdotes/miscellaneous,positive
1891,"the food was really good, i had the onion soup and it was one of the best ever.",onion soup,food,positive
2417,"i will have to say, this bengali fast food joint is clearly my favorite.",,anecdotes/miscellaneous,positive
2980,i'm not picky - but it was actually gross.,,food,negative
3451,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",wine,price,positive
1551,"since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",staff,ambience,negative
3146,"based on the reviews for dinner, this is a place i would reconsider revisiting for that, but definitely not for dim sum again.",dinner,food,conflict
1785,"it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",rice,price,negative
1492,"even with john's and joe's around the corner, this place will make a name for itself.",,anecdotes/miscellaneous,positive
406,"it melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,food,positive
3650,"when he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",tonic,service,negative
2985,my girlfriend convinced me to go in the other night for a quick bite.,,anecdotes/miscellaneous,neutral
2084,"the dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of chinese here).",little dishes,food,negative
2536,despite the untasteful previous review...,,anecdotes/miscellaneous,neutral
1820,"don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",,anecdotes/miscellaneous,positive
1826,"sure, everyone's got their favorite, but to know sal, is to know new york.",,anecdotes/miscellaneous,neutral
